id,GEOGRAFICO
159,Medical Assistance Center
159,School
159,School
159,Temple
159,Square
159,Urban Infrastructure
159,Urban Infrastructure
159,Urban Infrastructure
159,Urban Infrastructure
159,Urban Infrastructure
159,Urban Infrastructure
159,Urban Infrastructure
159,Urban Infrastructure
159,Urban Infrastructure
159,Urban Infrastructure
159,Sports Hub 
159,Sports Hub 
159,Sports Hub 
159,Sports Hub 
159,Sports Hub 
159,Sports Hub 
159,Sports Hub 
159,Sports Hub 
159,Temple
159,Sports Hub 
159,Sports Hub 
159,Sports Hub 
160,Square
160,School
160,Square
160,Urban Infrastructure
160,Urban Infrastructure
160,Urban Infrastructure
160,Urban Infrastructure
160,Urban Infrastructure
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Well
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Temple
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
160,Sports Hub 
161,School
161,School
161,School
161,Urban Infrastructure
